Time(ms),RPM,TPS(%),Coolant(C),MAP(mBar),VBAT(V),Gear,Lambda1,CRC32
20,1870,3.77,45.0,1013.0,14.20,0,0.994,12
40,1800,6.60,45.0,1013.0,14.17,0,0.990,14
60,1800,9.43,45.1,1013.0,14.19,0,0.986,10
80,1800,10.68,45.1,1013.0,14.17,0,0.984,57
100,1835,13.32,45.1,1013.0,14.16,0,0.980,15
120,1943,17.92,45.1,1013.0,14.14,0,0.973,13
140,2148,21.51,45.1,1013.0,14.17,0,0.968,8
160,2430,25.79,45.2,1013.0,14.18,0,0.961,11
180,2722,27.64,45.2,1013.0,14.13,1,0.959,10
200,2826,29.06,45.2,1013.0,14.11,1,0.956,13
220,3009,33.93,45.2,1013.0,14.15,1,0.949,6
240,3247,36.25,45.3,1013.0,14.11,1,0.946,10
260,3474,39.90,45.3,1013.0,14.13,1,0.940,11
280,3687,40.78,45.3,1013.0,14.16,1,0.939,8
300,3910,46.36,45.4,1013.0,14.19,1,0.930,13
320,4133,46.96,45.4,1013.0,14.12,1,0.930,0
340,4468,53.15,45.5,1013.0,14.14,1,0.920,4
360,4778,55.47,45.5,1013.0,14.11,1,0.917,4
380,5117,61.45,45.6,1013.0,14.11,1,0.908,12
400,5458,64.34,45.6,1013.0,14.17,1,0.903,3
420,5815,64.82,45.7,1013.0,14.18,1,0.903,7
440,6155,68.29,45.7,1013.0,14.20,1,0.898,10
460,6500,77.57,45.8,1013.0,14.17,1,0.884,13
480,6890,80.03,45.9,1013.0,14.12,1,0.880,14
500,7306,89.35,46.0,1013.0,14.16,1,0.866,8
520,7741,95.33,46.0,1013.0,14.19,1,0.857,11
540,8198,100.00,46.1,1013.0,14.18,1,0.850,58
560,8616,100.00,46.2,1013.0,14.13,1,0.850,49
580,9018,100.00,46.3,1013.0,14.19,1,0.850,61
600,9421,100.00,46.4,1013.0,14.18,1,0.850,62
620,9807,100.00,46.5,1013.0,14.20,1,0.850,62
640,10152,100.00,46.6,1013.0,14.19,1,0.850,0
660,10527,100.00,46.7,1013.0,14.11,1,0.850,13
680,10778,100.00,46.8,1013.0,14.17,1,0.850,2
700,11018,100.00,46.9,1013.0,14.14,1,0.850,9
720,11276,100.00,47.0,1013.0,14.14,1,0.850,9
740,11476,100.00,47.1,1013.0,14.17,1,0.850,11
760,11713,100.00,47.2,1013.0,14.18,1,0.850,5
780,11959,100.00,47.4,1013.0,14.16,1,0.850,3
800,12162,100.00,47.5,1013.0,14.18,1,0.850,8
820,12339,100.00,47.6,1013.0,14.18,1,0.850,5
840,12472,100.00,47.7,1013.0,14.15,1,0.850,7
860,12646,100.00,47.9,1013.0,14.14,1,0.850,15
880,12800,100.00,48.0,1013.0,14.11,1,0.850,14
900,12909,100.00,48.1,1013.0,14.16,1,0.850,9
920,13031,100.00,48.3,1013.0,14.14,1,0.850,8
940,12982,80.00,48.4,1013.0,14.11,2,0.880,59
960,12989,86.00,48.5,1013.0,14.19,2,0.871,51
980,12966,87.78,48.6,1013.0,14.11,2,0.868,49
1000,13066,100.00,48.8,1013.0,14.19,2,0.850,53
1020,13059,80.00,48.9,1013.0,14.19,3,0.880,15
1040,13007,64.00,49.0,1013.0,14.15,4,0.904,6
1060,12895,51.20,49.2,1013.0,14.12,5,0.923,3
1080,12877,79.44,49.3,1013.0,14.10,5,0.881,3
1100,12991,96.38,49.4,1013.0,14.12,5,0.855,5
1120,13021,100.00,49.6,1013.0,14.20,5,0.850,55
1140,13018,80.00,49.7,1013.0,14.16,5,0.880,11
1160,13011,64.00,49.8,1013.0,14.16,5,0.904,8
1180,12881,51.20,49.9,1013.0,14.17,5,0.923,7
1200,12808,58.55,50.1,1013.0,14.17,5,0.912,4
1220,12841,77.56,50.2,1013.0,14.18,5,0.884,7
1240,12922,99.93,50.3,1013.0,14.10,5,0.850,12
1260,12970,100.00,50.5,1013.0,14.11,5,0.850,53
1280,13026,100.00,50.6,1013.0,14.17,5,0.850,53
1300,13031,80.00,50.7,1013.0,14.19,5,0.880,1
1320,12977,64.00,50.8,1013.0,14.17,5,0.904,15
1340,12998,75.01,51.0,1013.0,14.20,5,0.887,14
1360,13050,100.00,51.1,1013.0,14.13,5,0.850,57
1380,13068,80.00,51.2,1013.0,14.19,5,0.880,1
1400,13031,64.00,51.4,1013.0,14.16,5,0.904,12
1420,12978,51.20,51.5,1013.0,14.14,5,0.923,9
1440,12890,66.34,51.6,1013.0,14.11,5,0.900,14
1460,12893,88.31,51.8,1013.0,14.12,5,0.868,8
1480,12995,100.00,51.9,1013.0,14.16,5,0.850,60
1500,13076,100.00,52.0,1013.0,14.14,5,0.850,56
1520,-1,-1.00,-1.0,-1.0,-1.00,-1,-1.000,40
1540,1800,-1.00,-1.0,-1.0,14.14,-1,1.002,8
1560,1800,-1.00,-1.0,-1.0,14.11,-1,1.002,15
1580,1800,-1.00,-0.9,-1.0,14.17,-1,1.002,15
1600,1800,-1.00,-0.9,-1.0,14.18,-1,1.002,11
1620,1800,-1.00,-0.9,-1.0,14.12,-1,1.002,3
1640,1800,-1.00,-0.9,-1.0,14.11,-1,1.002,6
1660,1800,-1.00,-0.9,-1.0,14.13,-1,1.002,6
1680,1800,-1.00,-0.9,-1.0,14.16,-1,1.002,13
1700,1800,-1.00,-0.8,-1.0,14.18,-1,1.002,11
1720,1800,-1.00,-0.8,-1.0,14.13,-1,1.002,2
1740,1800,-1.00,-0.8,-1.0,14.18,-1,1.002,15
1760,1800,-1.00,-0.8,-1.0,14.20,-1,1.002,6
1780,1800,-1.00,-0.8,-1.0,14.14,-1,1.002,15
1800,1800,-1.00,-0.7,-1.0,14.18,-1,1.002,11
1820,1800,-1.00,-0.7,-1.0,14.17,-1,1.002,6
1840,1800,-1.00,-0.7,-1.0,14.13,-1,1.002,4
1860,1800,-1.00,-0.7,-1.0,14.15,-1,1.002,0
1880,1800,-1.00,-0.7,-1.0,14.15,-1,1.002,14
1900,1800,-1.00,-0.7,-1.0,14.15,-1,1.002,7
1920,1800,-1.00,-0.6,-1.0,14.11,-1,1.002,0
1940,1800,-1.00,-0.6,-1.0,14.17,-1,1.002,0
1960,1800,-1.00,-0.6,-1.0,14.11,-1,1.002,4
1980,1800,-1.00,-0.6,-1.0,14.10,-1,1.002,11
2000,1800,-1.00,-0.6,-1.0,14.13,-1,1.002,10
2020,1800,-1.00,-0.5,-1.0,14.13,-1,1.002,11
2040,1800,-1.00,-0.5,-1.0,14.18,-1,1.002,6
2060,1800,-1.00,-0.5,-1.0,14.20,-1,1.002,15
2080,1800,-1.00,-0.5,-1.0,14.17,-1,1.002,5
2100,1800,-1.00,-0.5,-1.0,14.13,-1,1.002,8
2120,1800,-1.00,-0.5,-1.0,14.10,-1,1.002,9
2140,1800,-1.00,-0.4,-1.0,14.14,-1,1.002,10
2160,1800,-1.00,-0.4,-1.0,14.11,-1,1.002,13
2180,1800,-1.00,-0.4,-1.0,14.13,-1,1.002,1
2200,1800,-1.00,-0.4,-1.0,14.14,-1,1.002,13
2220,1800,-1.00,-0.4,-1.0,14.19,-1,1.002,2
2240,1800,-1.00,-0.4,-1.0,14.18,-1,1.002,5
2260,1800,-1.00,-0.3,-1.0,14.12,-1,1.002,10
2280,1800,-1.00,-0.3,-1.0,14.18,-1,1.002,14
2300,1800,-1.00,-0.3,-1.0,14.19,-1,1.002,6
2320,1800,-1.00,-0.3,-1.0,14.14,-1,1.002,9
2340,1800,-1.00,-0.3,-1.0,14.12,-1,1.002,9
2360,1800,-1.00,-0.2,-1.0,14.13,-1,1.002,11
2380,1800,-1.00,-0.2,-1.0,14.17,-1,1.002,1
2400,1800,-1.00,-0.2,-1.0,14.10,-1,1.002,9
2420,1800,-1.00,-0.2,-1.0,14.17,-1,1.002,12
2440,1800,-1.00,-0.2,-1.0,14.15,-1,1.002,8
2460,1800,-1.00,-0.2,-1.0,14.19,-1,1.002,6
